model, model_parameter, features, r_2, database_size, coeffs, features_ranking
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'],0.453166520554,(676| 141),[0.02469568 0.01845316],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'SSIM'],0.438778750455,(676| 141),[ 0.09383281 -2.46646686],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'| 'SSIM'],0.514805168154,(676| 141),[ 0.03986845 -4.13930956],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'],0.435869915702,(676| 141),[0.02531944],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'],0.333501655316,(676| 141),[0.06974315],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['SSIM'],0.000153796531687,(676| 141),[2.41730907],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['MS_SSIM'],-0.0129368998589,(676| 141),[2.2030435],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'],-0.0427303715942,(676| 141),[0.69248181],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockloss'],0.0096197324151,(676| 141),[-0.05505315],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blur'],-0.0156068996141,(676| 141),[-0.02650584],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['exposure'],-0.0304810090596,(676| 141),[-0.00167653],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['contrast'],-0.025823227567,(676| 141),[0.0019367],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['brightness'],-0.0245173937131,(676| 141),[-0.01679827],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],0.739640432215,(676| 141),[ 5.31131357e-02  3.34634569e-02  9.51859091e-01 -6.12189127e+00 -2.39922157e-02  2.30018209e-03 -1.67403942e+00 -3.53203069e-03 -6.15786519e-02  2.54599732e-03  1.95806508e+01  4.91044785e-03 -3.22227219e-03 -4.56976449e-01 -3.22496562e-03  7.40986571e-01 -1.23638530e+00  9.84664685e-01  4.68609108e-01 -9.57875066e-01 -5.09679299e-01],[11 13  1  4  5 19  9 15 12 16  1 14 18 10 17  6  1  8  7  3  2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],0.737721370775,(676| 141),[ 5.42316161e-02  3.38204670e-02  1.41540533e+00 -7.18121527e+00 -4.97104657e-02  2.13917658e-03 -1.83625345e+00 -4.92351668e-03 -7.08190842e-02  2.50605447e-03  2.00198506e+01  4.95224245e-03 -3.08178241e-03 -4.67807968e-01 -1.91683200e-03  4.93268715e-01 -9.87102601e-01  9.94419939e-01  1.94671923e-01 -6.95257976e-01],[10 11  1  1  2 17  4 14  9 15  1 13 16  5 18  7  6  3 12  8]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],-0.0293777345202,(676| 141),[ 1.21354911e+00 -1.57131545e-03 -6.33340323e+00 -5.84811194e-02 -5.33136259e-02  5.03305182e-03  9.42718462e+01 -4.71103901e-03 -5.68897325e-03 -3.15145443e-01 -2.39433395e-04  1.29400393e-01  2.31937768e-02  4.49246746e-01 -7.95369608e-01  1.93528692e-01],[ 1 13  1  7  9 12  1 11 10  2 14  8  6  4  5  3]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],-0.0291896638964,(676| 141),[ 1.21387634e+00 -1.56166811e-03 -6.33404679e+00 -5.84830142e-02 -5.25196498e-02  5.02146645e-03  9.43410233e+01 -4.71277661e-03 -5.71123677e-03 -3.15243874e-01 -3.73536627e-04  1.40431007e-01  1.13137821e-02  4.47418718e-01 -7.79563775e-01  1.80400268e-01 -2.38831011e-02],[ 1 14  1  7  9 13  1 12 10  2 15  8  6  4  5  3 11]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],-0.0298273026693,(676| 141),[ 1.20596260e+00 -1.57940615e-03 -6.36243796e+00 -5.84923951e-02 -5.42363367e-02  4.93620481e-03  9.41553264e+01 -4.71569232e-03 -5.61108883e-03 -3.12774949e-01  1.21488020e-01  3.38462872e-02  4.40648387e-01 -8.02830480e-01  2.06847786e-01  1.75115488e-02],[ 1 14  1  7  9 13  1 12 10  2  8  6  4  5  3 11]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'],0.63495267435,(676| 141),[ 0.04212197  0.02943889 -1.04509253 -3.91291881],[1 2 1 1]
