model, model_parameter, features, r_2, database_size, coeffs, features_ranking
,['PSNR'| 'Aggregate_vmaf'],0.502437418046,(653| 164),[0.03159101 0.01609624],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'SSIM'],0.290661291756,(653| 164),[ 0.09935978 -3.06027273],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'| 'SSIM'],0.576288781913,(653| 164),[ 0.03994262 -4.041886  ],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'],0.542746342531,(653| 164),[0.02513573],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'],0.334266270741,(653| 164),[0.06887047],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['SSIM'],0.133244731693,(653| 164),[1.93731532],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['MS_SSIM'],0.0813028553617,(653| 164),[1.79408336],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'],-0.00724810696614,(653| 164),[0.61630899],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockloss'],-0.018578418335,(653| 164),[-0.05783933],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blur'],-0.0202668190157,(653| 164),[-0.03088615],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['exposure'],-0.00425054072115,(653| 164),[-0.00071519],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['contrast'],-0.0117120584993,(653| 164),[-0.00186559],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['brightness'],-0.00573300025196,(653| 164),[0.03661999],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],-0.255316337467,(653| 164),[ 5.48594823e-02  3.37538937e-02  6.85611408e-01 -5.59358287e+00  3.88496704e-01  9.97158391e-04 -5.16244004e+01  5.10719321e-04 -7.65546802e-02  8.87084832e-03  2.79319998e+01  6.04349086e-03  1.56564672e-03  6.90313777e-01 -3.72786386e-03  1.07511540e+00 -1.05732487e+00  1.20028241e+00 -4.15977193e-01 -8.02095743e-01 -6.46118772e-01],[11 13  1  5  9 18  1 19 12 14  1 15 17 10 16  7  3  8  6  4  2]
