Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM
AirShow_HuangBufferBasedAdaptor_Trace_0, ---, 1920x1080, 420, 72.4637661923, 0.533269472412, 42.3637513882, 0.990476621622, 0.990502837838
AirShow_HuangBufferBasedAdaptor_Trace_1, ---, 1920x1080, 420, 71.1734447112, 0.465335047591, 42.046040898, 0.989814045455, 0.990021814496
AirShow_HuangBufferBasedAdaptor_Trace_2, ---, 1920x1080, 420, 67.4716761035, 0.36715448586, 41.0345676486, 0.989015481572, 0.989318608108
AirShow_HuangBufferBasedAdaptor_Trace_3, ---, 1920x1080, 420, 72.6789577809, 0.644216828286, 42.2728707715, 0.990500052826, 0.990565857494
AirShow_HuangBufferBasedAdaptor_Trace_4, ---, 1920x1080, 420, 57.8476467032, -0.339019989247, 39.4165187727, 0.987051757985, 0.987575030713
AirShow_HuangBufferBasedAdaptor_Trace_5, ---, 1920x1080, 420, 80.3973018117, 0.881460310391, 44.0743761646, 0.991876576167, 0.991858670762
AirShow_HuangBufferBasedAdaptor_Trace_6, ---, 1920x1080, 420, 56.9732715144, -0.0304610193669, 39.2860310233, 0.986763830467, 0.987320128993
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_0, ---, 1920x1080, 420, 82.4880027997, 1.04886489512, 44.0570634189, 0.992991206388, 0.992676970516
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_1, ---, 1920x1080, 420, 77.8437266472, 0.862080963023, 42.8398846916, 0.992048060197, 0.991820538084
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_2, ---, 1920x1080, 420, 73.7476092608, 0.474170159023, 41.9475888256, 0.99067980344, 0.990694256757
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_3, ---, 1920x1080, 420, 80.2541083833, 0.825095410015, 43.5485085909, 0.992447652334, 0.992216497543
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_4, ---, 1920x1080, 420, 63.283015936, -0.413850367706, 40.268791688, 0.987966264128, 0.988402391892
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_5, ---, 1920x1080, 420, 85.9545521365, 0.917362663319, 45.1455052752, 0.993871113022, 0.993476916462
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_6, ---, 1920x1080, 420, 60.1264263876, -0.192009291617, 39.6900805627, 0.987351932432, 0.987847507371
AirShow_SimpleThroughputBasedAdaptor_Trace_0, ---, 1920x1080, 420, 79.2751587576, 0.995927187022, 43.220621317, 0.99239652457, 0.992127756757
AirShow_SimpleThroughputBasedAdaptor_Trace_1, ---, 1920x1080, 420, 77.7446346042, 0.797090588518, 42.809733, 0.991717068796, 0.991567699017
AirShow_SimpleThroughputBasedAdaptor_Trace_2, ---, 1920x1080, 420, 70.5485403929, 0.289833178751, 41.3975258735, 0.989887898034, 0.990030297297
AirShow_SimpleThroughputBasedAdaptor_Trace_3, ---, 1920x1080, 420, 77.6421229455, 1.01291361289, 42.7468970455, 0.992301737101, 0.991979928747
AirShow_SimpleThroughputBasedAdaptor_Trace_4, ---, 1920x1080, 420, 61.9288532606, -0.506023245148, 40.0695389066, 0.987696061425, 0.98817072973
AirShow_SimpleThroughputBasedAdaptor_Trace_5, ---, 1920x1080, 420, 83.7767904647, 1.11643274233, 44.4411446069, 0.993280814496, 0.9929472457
AirShow_SimpleThroughputBasedAdaptor_Trace_6, ---, 1920x1080, 420, 60.0409490276, -0.24803016431, 39.7088528661, 0.987527979115, 0.987956195332
