Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
AirShow_HuangBufferBasedAdaptor_Trace_0, ---, 1920x1080, 420, 72.4637661923, 0.533269472412
AirShow_HuangBufferBasedAdaptor_Trace_1, ---, 1920x1080, 420, 71.1734447112, 0.465335047591
AirShow_HuangBufferBasedAdaptor_Trace_2, ---, 1920x1080, 420, 67.4716761035, 0.36715448586
AirShow_HuangBufferBasedAdaptor_Trace_3, ---, 1920x1080, 420, 72.6789577809, 0.644216828286
AirShow_HuangBufferBasedAdaptor_Trace_4, ---, 1920x1080, 420, 57.8476467032, -0.339019989247
AirShow_HuangBufferBasedAdaptor_Trace_5, ---, 1920x1080, 420, 80.3973018117, 0.881460310391
AirShow_HuangBufferBasedAdaptor_Trace_6, ---, 1920x1080, 420, 56.9732715144, -0.0304610193669
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_0, ---, 1920x1080, 420, 82.4880027997, 1.04886489512
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_1, ---, 1920x1080, 420, 77.8437266472, 0.862080963023
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_2, ---, 1920x1080, 420, 73.7476092608, 0.474170159023
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_3, ---, 1920x1080, 420, 80.2541083833, 0.825095410015
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_4, ---, 1920x1080, 420, 63.283015936, -0.413850367706
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_5, ---, 1920x1080, 420, 85.9545521365, 0.917362663319
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_6, ---, 1920x1080, 420, 60.1264263876, -0.192009291617
AirShow_SimpleThroughputBasedAdaptor_Trace_0, ---, 1920x1080, 420, 79.2751587576, 0.995927187022
AirShow_SimpleThroughputBasedAdaptor_Trace_1, ---, 1920x1080, 420, 77.7446346042, 0.797090588518
AirShow_SimpleThroughputBasedAdaptor_Trace_2, ---, 1920x1080, 420, 70.5485403929, 0.289833178751
AirShow_SimpleThroughputBasedAdaptor_Trace_3, ---, 1920x1080, 420, 77.6421229455, 1.01291361289
AirShow_SimpleThroughputBasedAdaptor_Trace_4, ---, 1920x1080, 420, 61.9288532606, -0.506023245148
AirShow_SimpleThroughputBasedAdaptor_Trace_5, ---, 1920x1080, 420, 83.7767904647, 1.11643274233
AirShow_SimpleThroughputBasedAdaptor_Trace_6, ---, 1920x1080, 420, 60.0409490276, -0.24803016431
AirShow_VMAFViterbiQualityBasedAdaptor_Trace_0, ---, 1920x1080, 420, 79.5178100555, 0.77096294713
AirShow_VMAFViterbiQualityBasedAdaptor_Trace_1, ---, 1920x1080, 420, 77.2456715632, 0.721557247294
AirShow_VMAFViterbiQualityBasedAdaptor_Trace_2, ---, 1920x1080, 420, 71.5016160299, 0.415804598331
AirShow_VMAFViterbiQualityBasedAdaptor_Trace_3, ---, 1920x1080, 420, 80.395795912, 0.342491190342
AirShow_VMAFViterbiQualityBasedAdaptor_Trace_4, ---, 1920x1080, 420, 64.7576625344, -0.545956744755
AirShow_VMAFViterbiQualityBasedAdaptor_Trace_5, ---, 1920x1080, 420, 86.015896026, 1.10362834775
AirShow_VMAFViterbiQualityBasedAdaptor_Trace_6, ---, 1920x1080, 420, 59.9337767024, -0.275903510664
AsianFusion_HuangBufferBasedAdaptor_Trace_0, ---, 1920x1080, 420, 73.5700555931, 0.716456618192
AsianFusion_HuangBufferBasedAdaptor_Trace_1, ---, 1920x1080, 420, 72.7812082063, 0.721666146529
AsianFusion_HuangBufferBasedAdaptor_Trace_2, ---, 1920x1080, 420, 64.9987707597, 0.510125561855
AsianFusion_HuangBufferBasedAdaptor_Trace_3, ---, 1920x1080, 420, 69.6201768314, 0.642703092256
AsianFusion_HuangBufferBasedAdaptor_Trace_4, ---, 1920x1080, 420, 62.0431522574, -0.293962589452
AsianFusion_HuangBufferBasedAdaptor_Trace_5, ---, 1920x1080, 420, 76.5428149564, 0.897537283451
AsianFusion_HuangBufferBasedAdaptor_Trace_6, ---, 1920x1080, 420, 58.8126787189, 0.0926287879307
